w_val,q2_val,gen_events,weight,rec_events,weight_rec,flux,cross_section,formfactor,cs_scaled
2.325,4.6,300057,21.37585,47417,2.98417,7e-05,1.01525,1.14412,1.16157
2.325,5.5,375112,12.83724,60609,1.86336,5e-05,0.7265,1.0887,0.79094
2.325,6.5,372440,6.24554,57729,0.84981,3e-05,0.52467,1.03836,0.54479
2.325,7.5,366162,3.27586,52801,0.40754,2e-05,0.39455,0.99647,0.39316
2.325,8.5,349992,1.8498,43410,0.18983,2e-05,0.31703,0.96082,0.30461
2.325,10.0,591551,1.77563,42135,0.11433,1e-05,0.27057,0.91596,0.24783
2.375,2.2,150768,155.27519,14603,13.13814,0.0003,3.38398,1.38479,4.6861
2.375,2.7,225478,118.70934,27945,12.87404,0.00021,2.5143,1.31678,3.31077
2.375,3.25,188143,50.81761,26992,6.46613,0.00015,1.84274,1.25573,2.31399
2.375,3.85,263348,38.05647,40944,5.25034,0.0001,1.38743,1.20075,1.66596
2.375,4.6,300674,21.70911,48121,3.0824,7e-05,1.00912,1.14412,1.15456
2.375,5.5,374472,13.05979,61045,1.87832,5e-05,0.72299,1.0887,0.78711
2.375,6.5,372720,6.37591,58245,0.86627,3e-05,0.52055,1.03836,0.54052
2.375,7.5,365689,3.34672,52674,0.40977,2e-05,0.39117,0.99647,0.38979
2.375,8.5,351680,1.8883,43736,0.19152,2e-05,0.31116,0.96082,0.29897
2.375,10.0,598075,1.8027,38122,0.10567,1e-05,0.26137,0.91596,0.23941
2.425,2.2,149874,150.98003,15134,13.35659,0.0003,3.30874,1.38479,4.5819
2.425,2.7,225755,116.64654,28873,13.0933,0.00021,2.45533,1.31678,3.23313
2.425,3.25,187399,50.12569,27396,6.47778,0.00015,1.80811,1.25573,2.2705
2.425,3.85,263009,37.68199,41331,5.21876,0.00011,1.35755,1.20075,1.63008
2.425,4.6,299532,21.63586,48915,3.08815,7e-05,0.99218,1.14412,1.13518
2.425,5.5,374288,13.05121,61734,1.87941,5e-05,0.70741,1.0887,0.77016
2.425,6.5,372022,6.35268,58586,0.86367,3e-05,0.50647,1.03836,0.5259
2.425,7.5,363574,3.37054,51889,0.40105,2e-05,0.38484,0.99647,0.38348
2.425,8.5,345013,1.89281,42357,0.1873,2e-05,0.3078,0.96082,0.29575
2.425,10.0,585026,1.81663,33703,0.09515,1e-05,0.25957,0.91596,0.23775
