w_val,q2_val,exp_events,flux,weight,cross_section,formfactor,cs_scaled
2.275,10.5,62,0.00001,62.00000,106378.90760,0.90281,96039.91118
2.325,2.2,49957,0.00030,49957.00000,3292.97526,1.38479,4560.07422
2.325,2.7,63415,0.00021,63415.00000,4808.79594,1.31678,6332.11469
2.325,3.25,35605,0.00014,35605.00000,6899.58625,1.25573,8664.01224
2.325,3.85,30177,0.00010,30177.00000,9748.42357,1.20075,11705.41006
2.325,4.6,18429,0.00007,18429.00000,14251.28956,1.14412,16305.23540
2.325,5.5,11112,0.00005,11112.00000,21228.75615,1.08870,23111.70519
2.325,6.5,4966,0.00003,4966.00000,31287.39111,1.03836,32487.51793
2.325,7.5,2389,0.00002,2389.00000,44100.97522,0.99647,43945.39546
2.325,8.5,887,0.00002,887.00000,59983.87467,0.96082,57633.89075
2.325,9.5,392,0.00001,392.00000,79207.27986,0.92994,73658.17156
2.325,10.5,50,0.00001,50.00000,101980.41451,0.90281,92068.90889
2.375,2.2,51888,0.00030,51888.00000,3285.75420,1.38479,4550.07458
2.375,2.7,65586,0.00021,65586.00000,4775.68867,1.31678,6288.51978
2.375,3.25,36466,0.00015,36466.00000,6822.42194,1.25573,8567.11475
2.375,3.85,31706,0.00010,31706.00000,9600.92303,1.20075,11528.29893
2.375,4.6,19012,0.00007,19012.00000,13976.47358,1.14412,15990.81199
2.375,5.5,11747,0.00005,11747.00000,20730.67142,1.08870,22569.44132
2.375,6.5,5527,0.00003,5527.00000,30430.16866,1.03836,31597.41400
2.375,7.5,2499,0.00002,2499.00000,42741.79034,0.99647,42591.00553
2.375,8.5,920,0.00002,920.00000,57951.68737,0.96082,55681.31831
2.375,9.5,392,0.00001,392.00000,76302.43473,0.92994,70956.83425
2.375,10.5,18,0.00001,18.00000,97975.63491,0.90281,88453.35496
2.425,2.2,53808,0.00030,53808.00000,3284.50064,1.38479,4548.33867
2.425,2.7,67728,0.00021,67728.00000,4751.99653,1.31678,6257.32250
2.425,3.25,38001,0.00015,38001.00000,6759.76640,1.25573,8488.43637
2.425,3.85,32907,0.00011,32907.00000,9475.32223,1.20075,11377.48389
2.425,4.6,19728,0.00007,19728.00000,13735.99549,1.14412,15715.67535
2.425,5.5,12184,0.00005,12184.00000,20287.49746,1.08870,22086.95870
2.425,6.5,5650,0.00003,5650.00000,29659.50391,1.03836,30797.18797
2.425,7.5,2465,0.00002,2465.00000,41512.01312,0.99647,41365.56672
2.425,8.5,969,0.00002,969.00000,56105.12630,0.96082,53907.09983
2.425,9.5,332,0.00001,332.00000,73655.07840,0.92994,68494.94656
2.425,10.5,6,0.00001,6.00000,94318.17199,0.90281,85151.36190
